x, y, z, t, confidence
589.0, 615.0, 16.0, 0.0, 14.8626
397.0, 552.0, 25.0, 0.0, 14.8755
507.0, 639.0, 21.0, 0.0, 14.8777
146.0, 610.0, 17.0, 0.0, 14.918
818.0, 983.0, 25.0, 0.0, 14.9359
147.0, 972.0, 2.0, 0.0, 14.9426
148.0, 777.0, 21.0, 0.0, 14.9614
175.0, 196.0, 8.0, 0.0, 14.9756
504.0, 457.0, 5.0, 0.0, 15.0006
370.0, 551.0, 29.0, 0.0, 15.015
594.0, 685.0, 17.0, 0.0, 15.0496
464.0, 768.0, 25.0, 0.0, 15.0715
331.0, 290.0, 29.0, 0.0, 15.1028
426.0, 524.0, 14.0, 0.0, 15.1373
404.0, 541.0, 16.0, 0.0, 15.1444
572.0, 768.0, 29.0, 0.0, 15.1762
97.0, 845.0, 10.0, 0.0, 15.1826
328.0, 902.0, 22.0, 0.0, 15.1839
308.0, 563.0, 9.0, 0.0, 15.2768
493.0, 688.0, 17.0, 0.0, 15.3175
619.0, 675.0, 22.0, 0.0, 15.3217
676.0, 369.0, 26.0, 0.0, 15.3365
768.0, 56.0, 25.0, 0.0, 15.361
200.0, 823.0, 11.0, 0.0, 15.3743
709.0, 621.0, 13.0, 0.0, 15.3761
1002.0, 291.0, 24.0, 0.0, 15.4112
187.0, 697.0, 14.0, 0.0, 15.4128
315.0, 545.0, 22.0, 0.0, 15.4499
201.0, 773.0, 18.0, 0.0, 15.4503
236.0, 110.0, 25.0, 0.0, 15.4737
271.0, 528.0, 19.0, 0.0, 15.4803
404.0, 0.0, 5.0, 0.0, 15.4804
736.0, 786.0, 29.0, 0.0, 15.5816
246.0, 960.0, 5.0, 0.0, 15.6199
196.0, 805.0, 18.0, 0.0, 15.6916
760.0, 525.0, 29.0, 0.0, 15.7081
364.0, 620.0, 18.0, 0.0, 15.7149
297.0, 948.0, 15.0, 0.0, 15.7211
720.0, 466.0, 21.0, 0.0, 15.7234
407.0, 726.0, 15.0, 0.0, 15.8168
740.0, 741.0, 29.0, 0.0, 15.8504
441.0, 286.0, 29.0, 0.0, 15.882
271.0, 971.0, 9.0, 0.0, 15.9013
913.0, 720.0, 29.0, 0.0, 15.9076
525.0, 378.0, 29.0, 0.0, 15.9594
407.0, 436.0, 12.0, 0.0, 16.0044
583.0, 345.0, 21.0, 0.0, 16.0139
923.0, 408.0, 29.0, 0.0, 16.0553
693.0, 664.0, 29.0, 0.0, 16.0857
747.0, 1027.0, 24.0, 0.0, 16.0882
215.0, 602.0, 17.0, 0.0, 16.1248
601.0, 421.0, 7.0, 0.0, 16.1907
766.0, 638.0, 10.0, 0.0, 16.1922
1039.0, 878.0, 11.0, 0.0, 16.2016
371.0, 706.0, 29.0, 0.0, 16.2226
471.0, 609.0, 16.0, 0.0, 16.2402
739.0, 813.0, 17.0, 0.0, 16.245
